content,keyword,label
"연말 연초 극장가가 관객들을 유혹하고 있다. 때가 때인지라 가족영화가 주류지만 극장가엔 다양한 종류의 영화가 걸려 있다.
 이번 주말을 포함해 사흘간 계속되는 연휴. 스크린 속에서나마 지난 1년의 피로를 씻어내고 삶의 새로운 활력을 찾아보면 어떨까. 
 ▶새삼 가족이 그립습니까〓경기침체로 체감 온도마저 급격히 떨어진 올 겨울 가장 든든한 동반..","['한국', '극장가', '리베라', '한국영화', '지구인들', '지구인', '환경오염', '화성', '생활터전', '절대절명', 'jsa', '유전자', '선발대', '브루스', '윌리스', '유머러스', '6번', '인간복제', '방화범', '포복절도', '시간date', '일당들', '소방대원', '해프닝들', '남북분단', '아널드', '사흘간', '대작들', '악당들', '한군', '실력자', '신용금고', '신화시대', '맥도날드', '좌충우돌', '신경전', '슈워제너거', 'sf', '일본영화']",
"농협 서산지부 7천여만원농협중앙회 서산시지부(지부장 최이섭)는 29일 오전 9시30분 서산시장실에서 한해 동안 고객과 농협이 환경보전형 공익상품인 늘푸른 통장을 통해 조성한 환경기금 6990만원을 서산시에 기탁했다.최 지부장은 인사말에서 ""최근 농약병 및 농업용폐비닐 등에 의한 농촌지역의 환경오염이 심각한 상황""이라며' ""환경기금이 농촌환경보전에도 사용..","['농협', '서산', '환경기금', '지부장', '서산시', '서산시지부', '농업용폐비닐', '용폐', '환경보', '농약병', '농협중앙회', '인사말', '최이섭', '농촌지역', '서산시장실', '7천', '시장실', '환경오염', '환경보전', '원농협중앙회', '2억', '농촌환경보전', '환경은행', '환경', '지부', '기탁', '조성', '지역', '농촌', '기금', '이미지', '보전', '농업', '농약', '공익', '추진', '상품', '비닐', '당부', '사업', '도움', '사용', '통장', '고객', '상황']",
"댐 방류량 감소 대신 강수량 증가 오염수치 낮아져공주, 부여 등 중 하류는 높아 수질관리 요구11월 중 금강수계 수질오염도가 전년동월 및 10월과 비슷한 양호한 상태로 나타났다.그러나 중 하류지역은 오염도가 높아져 이 지역에서의 철저한 수질 관리가 요구되고 있다.금강환경관리청이 29일 발표한 11월 금강수계 수질오염도에 따르면 상류 대청댐 수질은 B..","['ppm', '오염도', 'bod', '금강수계', '대청댐', '합의문', '수질오염도', '연말연시', '사업장', '강수량', '방류량', '부여', '특별감시활동', '하천유지수량', '미호천', '금강청', '환경오염', '200만', '강수일', '금강', '금강환경관리청', '1억', '청원', '갑천', '전년동월', '하류지역', '하류지점', 'cod']",
"환경단체 ""오염유발 상황에선 불가""업체 ""지정폐기물 반입은 없었다"" 반박보령시 웅천읍소재 (주)보령화성산업의 일반사업장폐기물 매립장에 대한 지정폐기물 반입여부를 놓고 논란을 빚고 있다.웅천읍 환경대책위원회에 따르면 서울대 환경대학원 부속환경계획연구소가 매립장의 5개소에서 지하 3m간격으로 15m까지 25개의 시료를 채취해 지정폐기물 10개항목을 검사(총..","['매립장', '지정폐기물', '서울대', '웅천읍', '환경단체', '도로변', '시험결과', '보령화성산업', '연구소', '폐기물', '2만', '주차금지', '구리', '위원회', '환경대책위원회', '15m', '용출기준', '유적지', '보령화성산업측', '유해성', '대립양상', '허가여부', '환경오염', '포화상태', '부속환경계획연구소', '사업장', '5개소', '추가회신', '허용기준치', '대학원']",
"5년을 끌어온 한 미 주둔군 지위협정(SOFA) 개정 협상이 28일 마침내 타결됐다.현행 SOFA는 주한미군이 한국에 대한 일방적 시혜자라는시각에서 만들어진 불평등한 규정들로 인해 한 미간 평등한 동반자관계 정립이라는 시대적 요구와 한참 동떨어졌다는 비판을 받아왔다.
SOFA는 지난 1967년 발효된 뒤 1991년 한차례 개정됐을 뿐이다. 새로개정되는 ..","['미군', 'sofa', '한국', '주한미군', '행사시', '미국', '주둔국', '주둔군', '시혜자', '그동안', '기소시점', '독극물', '피의자', '원상회복', '불평등', '시민단체들', '규정들', '노무조항', '기지촌', '미국측', '예방효과', '한강', '구체화', '진선진미', '근로자', '점들']",
"인터뷰/제주해양경찰서장 고인규씨""고향인 제주에 다시 돌아와 일하는 만큼 어민 생활보호와 제주해경의 경비력 강화를 위해 최선을 다하겠습니다""29일 부임한 고인규 제주해양경찰서장(51)은 해양주권 확보와 불법조업 단속 등을 통해 어민 생활보호에 중점을 두고 업무를 추진해 나가겠다고 말했다.고 서장은 ""사면이 바다인 제주는 해경의 경비력 강화 제1순위로 우리..","['제주', '성산', '경비력', '제주해양경찰서장', '고인규', '우리나라', '불법조업', '64기', '남제주군', '지역발전', '부임기간', '만큼', '신태분', '환경자원', '영해침범', '영해선', '해군대위', '경비정', '중국어', '환경오염', '제주해경', '제1순위', '고인규씨', '생활보호', '바다자원', '어민생활보호', '1녀', '성산수고', '중점', '서장']",
"금강환경관리청, 내달 4일까지금강환경관리청은 연말연시 사업장의 휴무 등으로 인한 환경오염사고 발생을 예방하기 위해 30일부터 내년 1월 4일까지 오염물질 배출사업장에 대한 특별 감시활동을 전개한다고 밝혔다.폐수가 많이 발생하거나 유독물을 취급하여 환경오염사고가 일어나기 쉬운 사업장을 대상으로 오염물질 미처리방류, 오염물질 처리시설의 정상가동 여부 등을 ..","['사업장', '오염물질', '환경오염사고', '환경오염', '사후관리', '까지금강환경', '조업정지', '양승갑', '관리청', '까지금강환경관리청', '금강환경관리청', '불법배출', '위반행위', '연말연시', '유독물', '미처리', '고발조치', 'yangsk', '감시', '발생', '오염', '물질', '여부', '고발', '위반', '내년', '계획', '내달', '처분', '행정', '특별', '배출', '사고', '별도', '조업', '재발']",
"주유중 엔진정지 생활화 필요근간 도로상에 날로 늘어나는 업종이 주유취급소와 가스충전소라 본다. 1천여만대의 차량홍수 속에서 인기있는 업소도 또한 이 두업종이라 보는데 이업소에 너무나 등한시 되는 주유중 엔진정지에 대하여 알아보고자 한다. 어느 주유취급소(주유소)든간에 아주 잘보이는 곳에 ""주유중 엔진정지""와 ""화기엄금""이란 경고표지가 잘붙어 있다. 그런..","['주유중', '생활화', '주유취급소', '종업원', '취급소', '삼척소방서', '가계비', '폭팔', '흡연자', '충전소', '건원', '1천', '이경고표지', '독일', '폭팔사고', '경고표지', '벌금고지서', '스위스', '공회전', '중요성', '차량홍수', '운전자', '이경고', '가스충전소', '환경오염', '안전의식', '안전수칙', '화기엄금', '명문화', '엔진마모', '화제예방', '고지서', '소비자', '도로상', '화재예방', '이업소', '주유소', '소방법', '시간date']",
"연말연시를 장식하는 영화는 한해를 보내고 새해를 맞는 마음처럼 '미래에 대한 두려움'을 담은 영화와 그래도 가정이라는 기초의 소중함을 일깨우는 가족영화가 주류를 이룬다. 영화 한편으로 새해를 설계해보는 것도 또다른 지혜다.
성공가도 한 남자의 색다른 경험
■패밀리 맨=브렛 래트너 감독, 니컬러스 케이지 티아 레오니 주연.
눈이 내리는 크리스마스 이브, ..","['화성', '관람가', '거신병', '바람계곡', '오광투자금융', '나우시카', '사현', '조종사', '페지테', '연말연시', '오토상', '토르메키아', '하야오', '영화제', '우주선', '궁여지책', '식민지', '마이니치', '비행선', '사람들', '일본', '모스', '완전범죄', '에니데이션']",
"노인 마을회관 준공
청양군 비봉면 관산리 노인 회관과 남양면 봉양2리 마을 회관 준공식이 29일 오전 鄭元永 군수와 기관 단체장, 주민등이 참석한 가운데 현지에서 있었다. [靑陽]
국무총리 표창 수상
대한불교청소년 교화연합회 보령시지부(지부장 박찬이)가 올해 청소년보호업무 유공 단체으로 선정돼 국무총리 표창을 수상했다.
보령시청소년 유해환경감시단을 겸하..","['오염물질', '사업장', '환경오염', '대한불교청소년', '남양면', '국무총리', '연말연시', '환경오염사고', '청양군', '금강', '주민등', '단체장', '보령시', '연합회', '지부장', '보령시청', '鄭元永', '중점감시', '휴무등', '박찬이', '靑陽', '보령시지부', '비봉면', '프로그램개발', '고발조치', '관산리', '청소년선', '유해환경', '특별감시대상', '탈선예방', '保寧', '유독물']",
